"Harmonised Standard";"link";"Low frequency";"High frequency";"Unit";"Application Term"
"EN 302 186";"http://www.etsi.org/deliver/etsi_en/302100_302199/302186/02.01.01_60/en_302186v020101p.pdf";"11.45";"11.7";"GHz";"AES ← FSS Earth stations ← Satellite systems (civil)"
"EN 302 186";"http://www.etsi.org/deliver/etsi_en/302100_302199/302186/02.01.01_60/en_302186v020101p.pdf";"12.5";"12.75";"GHz";"AES ← FSS Earth stations ← Satellite systems (civil)"
"EN 302 186";"http://www.etsi.org/deliver/etsi_en/302100_302199/302186/02.01.01_60/en_302186v020101p.pdf";"14.0";"14.25";"GHz";"AES ← FSS Earth stations ← Satellite systems (civil)"
"EN 302 186";"http://www.etsi.org/deliver/etsi_en/302100_302199/302186/02.01.01_60/en_302186v020101p.pdf";"14.25";"14.3";"GHz";"AES ← FSS Earth stations ← Satellite systems (civil)"
"EN 302 186";"http://www.etsi.org/deliver/etsi_en/302100_302199/302186/02.01.01_60/en_302186v020101p.pdf";"14.3";"14.4";"GHz";"AES ← FSS Earth stations ← Satellite systems (civil)"
"EN 302 186";"http://www.etsi.org/deliver/etsi_en/302100_302199/302186/02.01.01_60/en_302186v020101p.pdf";"14.4";"14.47";"GHz";"AES ← FSS Earth stations ← Satellite systems (civil)"
"EN 302 186";"http://www.etsi.org/deliver/etsi_en/302100_302199/302186/02.01.01_60/en_302186v020101p.pdf";"14.47";"14.5";"GHz";"AES ← FSS Earth stations ← Satellite systems (civil)"
"EN 302 340";"http://www.etsi.org/deliver/etsi_en/302300_302399/302340/02.01.01_60/en_302340v020101p.pdf";"10.7";"10.95";"GHz";"ESV ← FSS Earth stations ← Satellite systems (civil)"
"EN 302 340";"http://www.etsi.org/deliver/etsi_en/302300_302399/302340/02.01.01_60/en_302340v020101p.pdf";"10.95";"11.2";"GHz";"ESV ← FSS Earth stations ← Satellite systems (civil)"
"EN 302 340";"http://www.etsi.org/deliver/etsi_en/302300_302399/302340/02.01.01_60/en_302340v020101p.pdf";"11.2";"11.45";"GHz";"ESV ← FSS Earth stations ← Satellite systems (civil)"
"EN 302 340";"http://www.etsi.org/deliver/etsi_en/302300_302399/302340/02.01.01_60/en_302340v020101p.pdf";"11.45";"11.7";"GHz";"ESV ← FSS Earth stations ← Satellite systems (civil)"
"EN 302 340";"http://www.etsi.org/deliver/etsi_en/302300_302399/302340/02.01.01_60/en_302340v020101p.pdf";"11.7";"12.5";"GHz";"Broadcasting (satellite) ← Satellite systems (civil)"
"EN 302 340";"http://www.etsi.org/deliver/etsi_en/302300_302399/302340/02.01.01_60/en_302340v020101p.pdf";"12.5";"12.75";"GHz";"ESV ← FSS Earth stations ← Satellite systems (civil)"
"EN 302 340";"http://www.etsi.org/deliver/etsi_en/302300_302399/302340/02.01.01_60/en_302340v020101p.pdf";"14.0";"14.25";"GHz";"ESV ← FSS Earth stations ← Satellite systems (civil)"
"EN 302 340";"http://www.etsi.org/deliver/etsi_en/302300_302399/302340/02.01.01_60/en_302340v020101p.pdf";"14.25";"14.3";"GHz";"ESV ← FSS Earth stations ← Satellite systems (civil)"
"EN 302 340";"http://www.etsi.org/deliver/etsi_en/302300_302399/302340/02.01.01_60/en_302340v020101p.pdf";"14.3";"14.4";"GHz";"ESV ← FSS Earth stations ← Satellite systems (civil)"
"EN 302 340";"http://www.etsi.org/deliver/etsi_en/302300_302399/302340/02.01.01_60/en_302340v020101p.pdf";"14.3";"14.4";"GHz";"FSS Earth stations ← Satellite systems (civil)"
"EN 302 340";"http://www.etsi.org/deliver/etsi_en/302300_302399/302340/02.01.01_60/en_302340v020101p.pdf";"14.4";"14.47";"GHz";"ESV ← FSS Earth stations ← Satellite systems (civil)"
"EN 302 340";"http://www.etsi.org/deliver/etsi_en/302300_302399/302340/02.01.01_60/en_302340v020101p.pdf";"14.4";"14.47";"GHz";"FSS Earth stations ← Satellite systems (civil)"
"EN 302 340";"http://www.etsi.org/deliver/etsi_en/302300_302399/302340/02.01.01_60/en_302340v020101p.pdf";"14.47";"14.5";"GHz";"ESV ← FSS Earth stations ← Satellite systems (civil)"
"EN 302 340";"http://www.etsi.org/deliver/etsi_en/302300_302399/302340/02.01.01_60/en_302340v020101p.pdf";"14.47";"14.5";"GHz";"FSS Earth stations ← Satellite systems (civil)"
"EN 302 064";"http://www.etsi.org/deliver/etsi_en/302000_302099/302064/02.01.01_60/en_302064v020101p.pdf";"2010.0";"2025.0";"MHz";"PMSE"
"EN 302 064";"http://www.etsi.org/deliver/etsi_en/302000_302099/302064/02.01.01_60/en_302064v020101p.pdf";"2025.0";"2110.0";"MHz";"PMSE"
"EN 302 064";"http://www.etsi.org/deliver/etsi_en/302000_302099/302064/02.01.01_60/en_302064v020101p.pdf";"2200.0";"2290.0";"MHz";"PMSE"
"EN 302 064";"http://www.etsi.org/deliver/etsi_en/302000_302099/302064/02.01.01_60/en_302064v020101p.pdf";"2290.0";"2300.0";"MHz";"PMSE"
"EN 302 064";"http://www.etsi.org/deliver/etsi_en/302000_302099/302064/02.01.01_60/en_302064v020101p.pdf";"2300.0";"2400.0";"MHz";"PMSE"
"EN 302 064";"http://www.etsi.org/deliver/etsi_en/302000_302099/302064/02.01.01_60/en_302064v020101p.pdf";"2400.0";"2450.0";"MHz";"PMSE"
"EN 302 064";"http://www.etsi.org/deliver/etsi_en/302000_302099/302064/02.01.01_60/en_302064v020101p.pdf";"2450.0";"2483.5";"MHz";"PMSE"
"EN 302 064";"http://www.etsi.org/deliver/etsi_en/302000_302099/302064/02.01.01_60/en_302064v020101p.pdf";"2483.5";"2500.0";"MHz";"PMSE"
"EN 302 064";"http://www.etsi.org/deliver/etsi_en/302000_302099/302064/02.01.01_60/en_302064v020101p.pdf";"2700.0";"2900.0";"MHz";"PMSE"
"EN 302 064";"http://www.etsi.org/deliver/etsi_en/302000_302099/302064/02.01.01_60/en_302064v020101p.pdf";"3400.0";"3600.0";"MHz";"PMSE"
"EN 302 064";"http://www.etsi.org/deliver/etsi_en/302000_302099/302064/02.01.01_60/en_302064v020101p.pdf";"4400.0";"4500.0";"MHz";"PMSE"
"EN 302 064";"http://www.etsi.org/deliver/etsi_en/302000_302099/302064/02.01.01_60/en_302064v020101p.pdf";"4500.0";"4800.0";"MHz";"PMSE"
"EN 302 064";"http://www.etsi.org/deliver/etsi_en/302000_302099/302064/02.01.01_60/en_302064v020101p.pdf";"4800.0";"4990.0";"MHz";"PMSE"
"EN 302 064";"http://www.etsi.org/deliver/etsi_en/302000_302099/302064/02.01.01_60/en_302064v020101p.pdf";"6700.0";"7075.0";"MHz";"PMSE"
"EN 302 064";"http://www.etsi.org/deliver/etsi_en/302000_302099/302064/02.01.01_60/en_302064v020101p.pdf";"7075.0";"7145.0";"MHz";"PMSE"
"EN 302 064";"http://www.etsi.org/deliver/etsi_en/302000_302099/302064/02.01.01_60/en_302064v020101p.pdf";"7145.0";"7190.0";"MHz";"PMSE"
"EN 302 064";"http://www.etsi.org/deliver/etsi_en/302000_302099/302064/02.01.01_60/en_302064v020101p.pdf";"7190.0";"7235.0";"MHz";"PMSE"
"EN 302 064";"http://www.etsi.org/deliver/etsi_en/302000_302099/302064/02.01.01_60/en_302064v020101p.pdf";"7235.0";"7250.0";"MHz";"PMSE"
"EN 302 064";"http://www.etsi.org/deliver/etsi_en/302000_302099/302064/02.01.01_60/en_302064v020101p.pdf";"7250.0";"7300.0";"MHz";"PMSE"
"EN 302 064";"http://www.etsi.org/deliver/etsi_en/302000_302099/302064/02.01.01_60/en_302064v020101p.pdf";"7300.0";"7375.0";"MHz";"PMSE"
"EN 302 064";"http://www.etsi.org/deliver/etsi_en/302000_302099/302064/02.01.01_60/en_302064v020101p.pdf";"7375.0";"7450.0";"MHz";"PMSE"
"EN 302 064";"http://www.etsi.org/deliver/etsi_en/302000_302099/302064/02.01.01_60/en_302064v020101p.pdf";"7450.0";"7550.0";"MHz";"PMSE"
"EN 302 064";"http://www.etsi.org/deliver/etsi_en/302000_302099/302064/02.01.01_60/en_302064v020101p.pdf";"7550.0";"7750.0";"MHz";"PMSE"
"EN 302 064";"http://www.etsi.org/deliver/etsi_en/302000_302099/302064/02.01.01_60/en_302064v020101p.pdf";"7750.0";"7900.0";"MHz";"PMSE"
"EN 302 064";"http://www.etsi.org/deliver/etsi_en/302000_302099/302064/02.01.01_60/en_302064v020101p.pdf";"7900.0";"8025.0";"MHz";"PMSE"
"EN 302 064";"http://www.etsi.org/deliver/etsi_en/302000_302099/302064/02.01.01_60/en_302064v020101p.pdf";"8025.0";"8175.0";"MHz";"PMSE"
"EN 302 064";"http://www.etsi.org/deliver/etsi_en/302000_302099/302064/02.01.01_60/en_302064v020101p.pdf";"8175.0";"8215.0";"MHz";"PMSE"
"EN 302 064";"http://www.etsi.org/deliver/etsi_en/302000_302099/302064/02.01.01_60/en_302064v020101p.pdf";"8215.0";"8400.0";"MHz";"PMSE"
"EN 302 064";"http://www.etsi.org/deliver/etsi_en/302000_302099/302064/02.01.01_60/en_302064v020101p.pdf";"8400.0";"8500.0";"MHz";"PMSE"
"EN 302 064";"http://www.etsi.org/deliver/etsi_en/302000_302099/302064/02.01.01_60/en_302064v020101p.pdf";"10000.0";"10400.0";"MHz";"PMSE"
"EN 302 064";"http://www.etsi.org/deliver/etsi_en/302000_302099/302064/02.01.01_60/en_302064v020101p.pdf";"10400.0";"10450.0";"MHz";"PMSE"
"EN 302 064";"http://www.etsi.org/deliver/etsi_en/302000_302099/302064/02.01.01_60/en_302064v020101p.pdf";"10450.0";"10500.0";"MHz";"PMSE"
"EN 302 064";"http://www.etsi.org/deliver/etsi_en/302000_302099/302064/02.01.01_60/en_302064v020101p.pdf";"10.5";"10.55";"GHz";"PMSE"
"EN 302 064";"http://www.etsi.org/deliver/etsi_en/302000_302099/302064/02.01.01_60/en_302064v020101p.pdf";"10.55";"10.6";"GHz";"PMSE"
"EN 302 064";"http://www.etsi.org/deliver/etsi_en/302000_302099/302064/02.01.01_60/en_302064v020101p.pdf";"10.6";"10.68";"GHz";"PMSE"
"EN 302 064";"http://www.etsi.org/deliver/etsi_en/302000_302099/302064/02.01.01_60/en_302064v020101p.pdf";"21.2";"21.4";"GHz";"PMSE"
"EN 302 064";"http://www.etsi.org/deliver/etsi_en/302000_302099/302064/02.01.01_60/en_302064v020101p.pdf";"21.4";"22.0";"GHz";"PMSE"
"EN 302 064";"http://www.etsi.org/deliver/etsi_en/302000_302099/302064/02.01.01_60/en_302064v020101p.pdf";"22.0";"22.21";"GHz";"PMSE"
"EN 302 064";"http://www.etsi.org/deliver/etsi_en/302000_302099/302064/02.01.01_60/en_302064v020101p.pdf";"22.21";"22.5";"GHz";"PMSE"
"EN 302 064";"http://www.etsi.org/deliver/etsi_en/302000_302099/302064/02.01.01_60/en_302064v020101p.pdf";"22.5";"22.55";"GHz";"PMSE"
"EN 302 064";"http://www.etsi.org/deliver/etsi_en/302000_302099/302064/02.01.01_60/en_302064v020101p.pdf";"22.55";"23.15";"GHz";"PMSE"
"EN 302 064";"http://www.etsi.org/deliver/etsi_en/302000_302099/302064/02.01.01_60/en_302064v020101p.pdf";"23.15";"23.55";"GHz";"PMSE"
"EN 302 064";"http://www.etsi.org/deliver/etsi_en/302000_302099/302064/02.01.01_60/en_302064v020101p.pdf";"23.55";"23.6";"GHz";"PMSE"
"EN 302 064";"http://www.etsi.org/deliver/etsi_en/302000_302099/302064/02.01.01_60/en_302064v020101p.pdf";"24.0";"24.05";"GHz";"PMSE"
"EN 302 064";"http://www.etsi.org/deliver/etsi_en/302000_302099/302064/02.01.01_60/en_302064v020101p.pdf";"24.05";"24.25";"GHz";"PMSE"
"EN 302 064";"http://www.etsi.org/deliver/etsi_en/302000_302099/302064/02.01.01_60/en_302064v020101p.pdf";"24.25";"24.45";"GHz";"PMSE"
"EN 302 064";"http://www.etsi.org/deliver/etsi_en/302000_302099/302064/02.01.01_60/en_302064v020101p.pdf";"24.45";"24.5";"GHz";"PMSE"
"EN 302 064";"http://www.etsi.org/deliver/etsi_en/302000_302099/302064/02.01.01_60/en_302064v020101p.pdf";"47.2";"47.5";"GHz";"PMSE"
"EN 302 064";"http://www.etsi.org/deliver/etsi_en/302000_302099/302064/02.01.01_60/en_302064v020101p.pdf";"47.5";"47.9";"GHz";"PMSE"
"EN 302 064";"http://www.etsi.org/deliver/etsi_en/302000_302099/302064/02.01.01_60/en_302064v020101p.pdf";"47.9";"48.2";"GHz";"PMSE"
"EN 302 064";"http://www.etsi.org/deliver/etsi_en/302000_302099/302064/02.01.01_60/en_302064v020101p.pdf";"48.2";"48.54";"GHz";"PMSE"
"EN 302 064";"http://www.etsi.org/deliver/etsi_en/302000_302099/302064/02.01.01_60/en_302064v020101p.pdf";"48.54";"49.44";"GHz";"PMSE"
"EN 302 064";"http://www.etsi.org/deliver/etsi_en/302000_302099/302064/02.01.01_60/en_302064v020101p.pdf";"49.44";"50.2";"GHz";"PMSE"
"EN 300 471";"http://www.etsi.org/deliver/etsi_en/300400_300499/30047102/01.01.01_60/en_30047102v010101p.pdf";"30.01";"37.5";"MHz";"PMR ← PMR/PAMR ← Land mobile"
"EN 300 471";"http://www.etsi.org/deliver/etsi_en/300400_300499/30047102/01.01.01_60/en_30047102v010101p.pdf";"37.5";"38.25";"MHz";"PMR ← PMR/PAMR ← Land mobile"
"EN 300 471";"http://www.etsi.org/deliver/etsi_en/300400_300499/30047102/01.01.01_60/en_30047102v010101p.pdf";"38.25";"39.0";"MHz";"PMR ← PMR/PAMR ← Land mobile"
"EN 300 471";"http://www.etsi.org/deliver/etsi_en/300400_300499/30047102/01.01.01_60/en_30047102v010101p.pdf";"39.0";"39.5";"MHz";"PMR ← PMR/PAMR ← Land mobile"
"EN 300 471";"http://www.etsi.org/deliver/etsi_en/300400_300499/30047102/01.01.01_60/en_30047102v010101p.pdf";"39.5";"39.986";"MHz";"PMR ← PMR/PAMR ← Land mobile"
"EN 300 471";"http://www.etsi.org/deliver/etsi_en/300400_300499/30047102/01.01.01_60/en_30047102v010101p.pdf";"39.986";"40.02";"MHz";"PMR ← PMR/PAMR ← Land mobile"
"EN 300 471";"http://www.etsi.org/deliver/etsi_en/300400_300499/30047102/01.01.01_60/en_30047102v010101p.pdf";"40.02";"40.66";"MHz";"PMR ← PMR/PAMR ← Land mobile"
"EN 300 471";"http://www.etsi.org/deliver/etsi_en/300400_300499/30047102/01.01.01_60/en_30047102v010101p.pdf";"40.7";"40.98";"MHz";"PMR ← PMR/PAMR ← Land mobile"
"EN 300 471";"http://www.etsi.org/deliver/etsi_en/300400_300499/30047102/01.01.01_60/en_30047102v010101p.pdf";"40.98";"41.015";"MHz";"PMR ← PMR/PAMR ← Land mobile"
"EN 300 471";"http://www.etsi.org/deliver/etsi_en/300400_300499/30047102/01.01.01_60/en_30047102v010101p.pdf";"41.015";"42.0";"MHz";"PMR ← PMR/PAMR ← Land mobile"
"EN 300 471";"http://www.etsi.org/deliver/etsi_en/300400_300499/30047102/01.01.01_60/en_30047102v010101p.pdf";"42.0";"42.5";"MHz";"PMR ← PMR/PAMR ← Land mobile"
"EN 300 471";"http://www.etsi.org/deliver/etsi_en/300400_300499/30047102/01.01.01_60/en_30047102v010101p.pdf";"42.5";"44.0";"MHz";"PMR ← PMR/PAMR ← Land mobile"
"EN 300 471";"http://www.etsi.org/deliver/etsi_en/300400_300499/30047102/01.01.01_60/en_30047102v010101p.pdf";"44.0";"47.0";"MHz";"PMR ← PMR/PAMR ← Land mobile"
"EN 300 471";"http://www.etsi.org/deliver/etsi_en/300400_300499/30047102/01.01.01_60/en_30047102v010101p.pdf";"47.0";"50.0";"MHz";"PMR ← PMR/PAMR ← Land mobile"
"EN 300 471";"http://www.etsi.org/deliver/etsi_en/300400_300499/30047102/01.01.01_60/en_30047102v010101p.pdf";"50.0";"52.0";"MHz";"PMR ← PMR/PAMR ← Land mobile"
"EN 300 471";"http://www.etsi.org/deliver/etsi_en/300400_300499/30047102/01.01.01_60/en_30047102v010101p.pdf";"52.0";"68.0";"MHz";"PMR ← PMR/PAMR ← Land mobile"
"EN 300 471";"http://www.etsi.org/deliver/etsi_en/300400_300499/30047102/01.01.01_60/en_30047102v010101p.pdf";"68.0";"70.45";"MHz";"PMR/PAMR ← Land mobile"
"EN 300 471";"http://www.etsi.org/deliver/etsi_en/300400_300499/30047102/01.01.01_60/en_30047102v010101p.pdf";"70.45";"74.8";"MHz";"PMR/PAMR ← Land mobile"
"EN 300 471";"http://www.etsi.org/deliver/etsi_en/300400_300499/30047102/01.01.01_60/en_30047102v010101p.pdf";"75.2";"87.5";"MHz";"PMR/PAMR ← Land mobile"
"EN 300 471";"http://www.etsi.org/deliver/etsi_en/300400_300499/30047102/01.01.01_60/en_30047102v010101p.pdf";"146.0";"148.0";"MHz";"PMR/PAMR ← Land mobile"
"EN 300 471";"http://www.etsi.org/deliver/etsi_en/300400_300499/30047102/01.01.01_60/en_30047102v010101p.pdf";"148.0";"149.9";"MHz";"PMR/PAMR ← Land mobile"
"EN 300 471";"http://www.etsi.org/deliver/etsi_en/300400_300499/30047102/01.01.01_60/en_30047102v010101p.pdf";"149.9";"150.05";"MHz";"PMR/PAMR ← Land mobile"
"EN 300 471";"http://www.etsi.org/deliver/etsi_en/300400_300499/30047102/01.01.01_60/en_30047102v010101p.pdf";"150.05";"153.0";"MHz";"PMR/PAMR ← Land mobile"
"EN 300 471";"http://www.etsi.org/deliver/etsi_en/300400_300499/30047102/01.01.01_60/en_30047102v010101p.pdf";"153.0";"154.0";"MHz";"PMR/PAMR ← Land mobile"
"EN 300 471";"http://www.etsi.org/deliver/etsi_en/300400_300499/30047102/01.01.01_60/en_30047102v010101p.pdf";"154.0";"156.4875";"MHz";"PMR/PAMR ← Land mobile"
"EN 300 471";"http://www.etsi.org/deliver/etsi_en/300400_300499/30047102/01.01.01_60/en_30047102v010101p.pdf";"156.8375";"157.1875";"MHz";"PMR/PAMR ← Land mobile"
"EN 300 471";"http://www.etsi.org/deliver/etsi_en/300400_300499/30047102/01.01.01_60/en_30047102v010101p.pdf";"157.1875";"157.3375";"MHz";"PMR/PAMR ← Land mobile"
"EN 300 471";"http://www.etsi.org/deliver/etsi_en/300400_300499/30047102/01.01.01_60/en_30047102v010101p.pdf";"157.3375";"161.7875";"MHz";"PMR/PAMR ← Land mobile"
"EN 300 471";"http://www.etsi.org/deliver/etsi_en/300400_300499/30047102/01.01.01_60/en_30047102v010101p.pdf";"161.7875";"161.9375";"MHz";"PMR/PAMR ← Land mobile"
"EN 300 471";"http://www.etsi.org/deliver/etsi_en/300400_300499/30047102/01.01.01_60/en_30047102v010101p.pdf";"161.9375";"161.9625";"MHz";"PMR/PAMR ← Land mobile"
"EN 300 471";"http://www.etsi.org/deliver/etsi_en/300400_300499/30047102/01.01.01_60/en_30047102v010101p.pdf";"162.0375";"169.4";"MHz";"PMR/PAMR ← Land mobile"
"EN 300 471";"http://www.etsi.org/deliver/etsi_en/300400_300499/30047102/01.01.01_60/en_30047102v010101p.pdf";"169.8125";"174.0";"MHz";"PMR/PAMR ← Land mobile"
"EN 300 471";"http://www.etsi.org/deliver/etsi_en/300400_300499/30047102/01.01.01_60/en_30047102v010101p.pdf";"406.1";"410.0";"MHz";"PMR/PAMR ← Land mobile"
"EN 300 471";"http://www.etsi.org/deliver/etsi_en/300400_300499/30047102/01.01.01_60/en_30047102v010101p.pdf";"410.0";"420.0";"MHz";"PMR/PAMR ← Land mobile"
"EN 300 471";"http://www.etsi.org/deliver/etsi_en/300400_300499/30047102/01.01.01_60/en_30047102v010101p.pdf";"420.0";"430.0";"MHz";"PMR/PAMR ← Land mobile"
"EN 300 471";"http://www.etsi.org/deliver/etsi_en/300400_300499/30047102/01.01.01_60/en_30047102v010101p.pdf";"440.0";"450.0";"MHz";"PMR/PAMR ← Land mobile"
"EN 300 471";"http://www.etsi.org/deliver/etsi_en/300400_300499/30047102/01.01.01_60/en_30047102v010101p.pdf";"450.0";"455.0";"MHz";"PMR/PAMR ← Land mobile"
"EN 300 471";"http://www.etsi.org/deliver/etsi_en/300400_300499/30047102/01.01.01_60/en_30047102v010101p.pdf";"455.0";"456.0";"MHz";"PMR/PAMR ← Land mobile"
"EN 300 471";"http://www.etsi.org/deliver/etsi_en/300400_300499/30047102/01.01.01_60/en_30047102v010101p.pdf";"456.0";"459.0";"MHz";"PMR/PAMR ← Land mobile"
"EN 300 471";"http://www.etsi.org/deliver/etsi_en/300400_300499/30047102/01.01.01_60/en_30047102v010101p.pdf";"459.0";"460.0";"MHz";"PMR/PAMR ← Land mobile"
"EN 300 471";"http://www.etsi.org/deliver/etsi_en/300400_300499/30047102/01.01.01_60/en_30047102v010101p.pdf";"460.0";"470.0";"MHz";"PMR/PAMR ← Land mobile"
"EN 302 502";"http://www.etsi.org/deliver/etsi_en/302500_302599/302502/01.02.01_60/en_302502v010201p.pdf";"5725.0";"5830.0";"MHz";"BFWA"
"EN 302 502";"http://www.etsi.org/deliver/etsi_en/302500_302599/302502/01.02.01_60/en_302502v010201p.pdf";"5850.0";"5925.0";"MHz";"BFWA"
"EN 302 625";"http://www.etsi.org/deliver/etsi_en/302600_302699/302625/01.01.01_60/en_302625v010101p.pdf";"4800.0";"4990.0";"MHz";"BBDR ← PPDR ← Land mobile"
"EN 302 625";"http://www.etsi.org/deliver/etsi_en/302600_302699/302625/01.01.01_60/en_302625v010101p.pdf";"5150.0";"5250.0";"MHz";"BBDR ← PPDR ← Land mobile"
"EN 301 430";"http://www.etsi.org/deliver/etsi_en/301400_301499/301430/02.01.01_60/en_301430v020101p.pdf";"10.7";"10.95";"GHz";"FSS Earth stations ← Satellite systems (civil)"
"EN 301 430";"http://www.etsi.org/deliver/etsi_en/301400_301499/301430/02.01.01_60/en_301430v020101p.pdf";"12.5";"12.75";"GHz";"FSS Earth stations ← Satellite systems (civil)"
"EN 301 430";"http://www.etsi.org/deliver/etsi_en/301400_301499/301430/02.01.01_60/en_301430v020101p.pdf";"12.75";"13.25";"GHz";"FSS Earth stations ← Satellite systems (civil)"
"EN 301 430";"http://www.etsi.org/deliver/etsi_en/301400_301499/301430/02.01.01_60/en_301430v020101p.pdf";"13.75";"14.0";"GHz";"FSS Earth stations ← Satellite systems (civil)"
"EN 301 430";"http://www.etsi.org/deliver/etsi_en/301400_301499/301430/02.01.01_60/en_301430v020101p.pdf";"14.0";"14.25";"GHz";"VSAT ← FSS Earth stations ← Satellite systems (civil)"
"EN 301 430";"http://www.etsi.org/deliver/etsi_en/301400_301499/301430/02.01.01_60/en_301430v020101p.pdf";"14.25";"14.3";"GHz";"VSAT ← FSS Earth stations ← Satellite systems (civil)"
"EN 301 430";"http://www.etsi.org/deliver/etsi_en/301400_301499/301430/02.01.01_60/en_301430v020101p.pdf";"14.3";"14.4";"GHz";"VSAT ← FSS Earth stations ← Satellite systems (civil)"
"EN 301 430";"http://www.etsi.org/deliver/etsi_en/301400_301499/301430/02.01.01_60/en_301430v020101p.pdf";"14.4";"14.47";"GHz";"VSAT ← FSS Earth stations ← Satellite systems (civil)"
"EN 301 430";"http://www.etsi.org/deliver/etsi_en/301400_301499/301430/02.01.01_60/en_301430v020101p.pdf";"14.47";"14.5";"GHz";"VSAT ← FSS Earth stations ← Satellite systems (civil)"
"EN 303 132";"http://www.etsi.org/deliver/etsi_en/303100_303199/303132/01.01.01_60/en_303132v010101p.pdf";"156.5125";"156.5375";"MHz";"DSC ← GMDSS ← Maritime"
"EN 303 098";"https://www.etsi.org/deliver/etsi_en/303000_303099/303098/02.02.01_60/en_303098v020201p.pdf";"161.9625";"161.9875";"MHz";"AIS ← Maritime communications ← Maritime"
"EN 303 098";"https://www.etsi.org/deliver/etsi_en/303000_303099/303098/02.02.01_60/en_303098v020201p.pdf";"162.0125";"162.0375";"MHz";"AIS ← Maritime communications ← Maritime"
"EN 301 406";"http://www.etsi.org/deliver/etsi_en/301400_301499/301406/02.02.02_60/en_301406v020202p.pdf";"1880.0";"1885.0";"MHz";"DECT ← Cordless telephones ← Land mobile"
"EN 301 406";"http://www.etsi.org/deliver/etsi_en/301400_301499/301406/02.02.02_60/en_301406v020202p.pdf";"1885.0";"1900.0";"MHz";"DECT ← Cordless telephones ← Land mobile"
"EN 300 440";"https://www.etsi.org/deliver/etsi_en/300400_300499/300440/02.02.01_60/en_300440v020201p.pdf";"2400.0";"2450.0";"MHz";"Non-specific SRDs ← Short Range Devices"
"EN 300 440";"https://www.etsi.org/deliver/etsi_en/300400_300499/300440/02.02.01_60/en_300440v020201p.pdf";"2400.0";"2450.0";"MHz";"RFID ← Short Range Devices"
"EN 300 440";"https://www.etsi.org/deliver/etsi_en/300400_300499/300440/02.02.01_60/en_300440v020201p.pdf";"2400.0";"2450.0";"MHz";"Radiodetermination applications ← Short Range Devices"
"EN 300 440";"https://www.etsi.org/deliver/etsi_en/300400_300499/300440/02.02.01_60/en_300440v020201p.pdf";"2450.0";"2483.5";"MHz";"Non-specific SRDs ← Short Range Devices"
"EN 300 440";"https://www.etsi.org/deliver/etsi_en/300400_300499/300440/02.02.01_60/en_300440v020201p.pdf";"2450.0";"2483.5";"MHz";"RFID ← Short Range Devices"
"EN 300 440";"https://www.etsi.org/deliver/etsi_en/300400_300499/300440/02.02.01_60/en_300440v020201p.pdf";"2450.0";"2483.5";"MHz";"Radiodetermination applications ← Short Range Devices"
"EN 300 440";"https://www.etsi.org/deliver/etsi_en/300400_300499/300440/02.02.01_60/en_300440v020201p.pdf";"5725.0";"5830.0";"MHz";"Non-specific SRDs ← Short Range Devices"
"EN 300 440";"https://www.etsi.org/deliver/etsi_en/300400_300499/300440/02.02.01_60/en_300440v020201p.pdf";"5830.0";"5850.0";"MHz";"Non-specific SRDs ← Short Range Devices"
"EN 300 440";"https://www.etsi.org/deliver/etsi_en/300400_300499/300440/02.02.01_60/en_300440v020201p.pdf";"5850.0";"5925.0";"MHz";"Non-specific SRDs ← Short Range Devices"
"EN 300 440";"https://www.etsi.org/deliver/etsi_en/300400_300499/300440/02.02.01_60/en_300440v020201p.pdf";"9200.0";"9300.0";"MHz";"Radiodetermination applications ← Short Range Devices"
"EN 300 440";"https://www.etsi.org/deliver/etsi_en/300400_300499/300440/02.02.01_60/en_300440v020201p.pdf";"9300.0";"9500.0";"MHz";"Radiodetermination applications ← Short Range Devices"
"EN 300 440";"https://www.etsi.org/deliver/etsi_en/300400_300499/300440/02.02.01_60/en_300440v020201p.pdf";"9500.0";"9800.0";"MHz";"Radiodetermination applications ← Short Range Devices"
"EN 300 440";"https://www.etsi.org/deliver/etsi_en/300400_300499/300440/02.02.01_60/en_300440v020201p.pdf";"9800.0";"9900.0";"MHz";"Radiodetermination applications ← Short Range Devices"
"EN 300 440";"https://www.etsi.org/deliver/etsi_en/300400_300499/300440/02.02.01_60/en_300440v020201p.pdf";"9900.0";"10000.0";"MHz";"Radiodetermination applications ← Short Range Devices"
"EN 300 440";"https://www.etsi.org/deliver/etsi_en/300400_300499/300440/02.02.01_60/en_300440v020201p.pdf";"10.5";"10.55";"GHz";"Radiodetermination applications ← Short Range Devices"
"EN 300 440";"https://www.etsi.org/deliver/etsi_en/300400_300499/300440/02.02.01_60/en_300440v020201p.pdf";"10.55";"10.6";"GHz";"Radiodetermination applications ← Short Range Devices"
"EN 300 440";"https://www.etsi.org/deliver/etsi_en/300400_300499/300440/02.02.01_60/en_300440v020201p.pdf";"13.4";"13.65";"GHz";"Radiodetermination applications ← Short Range Devices"
"EN 300 440";"https://www.etsi.org/deliver/etsi_en/300400_300499/300440/02.02.01_60/en_300440v020201p.pdf";"13.65";"13.75";"GHz";"Radiodetermination applications ← Short Range Devices"
